Feature,Coefficient,AbsCoefficient
cat__geo_country_group_Ireland,-2.5456521400547825,2.5456521400547825
cat__utm_source_group_PlbkrSYoHuZBWfYjYnfw,-1.4243192772817395,1.4243192772817395
cat__utm_source_group_vFcAhRxLfOWKhvxjELkx,-1.1704496963325868,1.1704496963325868
cat__utm_source_group_QxAxdyPLuQMEcrdZWdWb,1.1478658183057073,1.1478658183057073
cat__utm_campaign_group_okTXSMadDkjvntEHzIjp,-1.0731975245608483,1.0731975245608483
cat__utm_campaign_group_FTjNLDyTrXaWYgZymFkV,-1.0539554806166238,1.0539554806166238
cat__utm_campaign_group_bxOTvPtyGSdUrbwoXCPO,-0.9138812054399318,0.9138812054399318
cat__geo_country_group_United States,-0.8921889857779554,0.8921889857779554
cat__device_browser_group_other,-0.8676838939228718,0.8676838939228718
cat__geo_country_group_Germany,0.760312715116942,0.760312715116942
cat__utm_source_group_RmEBuqrriAfAVsLQQmhk,-0.6683180399872152,0.6683180399872152
cat__utm_medium_group_cpc,-0.6626400432245687,0.6626400432245687
cat__utm_campaign_group_unknown,0.6614843776376921,0.6614843776376921
cat__geo_country_group_other,0.604453241811155,0.604453241811155
cat__utm_campaign_group_LEoPHuyFvzoNfnzGgfcd,0.5505242979132277,0.5505242979132277
cat__geo_country_group_Russia,0.5409202997797983,0.5409202997797983
cat__utm_source_group_BHcvLfOaCWvWTykYqHVe,0.5019450989589723,0.5019450989589723
cat__utm_campaign_group_gecBYcKZCPMcVYdSSzKP,0.4944742051392428,0.4944742051392428
cat__utm_source_group_MvfHsxITijuriZxsqZqt,0.4856305206144404,0.4856305206144404
cat__geo_city_group_Voronezh,-0.47707780290620067,0.47707780290620067
cat__device_browser_group_Safari (in-app),-0.45728454914206873,0.45728454914206873
cat__geo_country_group_Kazakhstan,0.45293003375451507,0.45293003375451507
cat__device_category_mobile,-0.44670626434277494,0.44670626434277494
cat__geo_country_group_Turkey,0.44100353522095775,0.44100353522095775
cat__geo_country_group_Sweden,-0.43928153132400893,0.43928153132400893
cat__device_browser_group_Samsung Internet,0.38680942115567535,0.38680942115567535
cat__utm_source_group_ZpYIoDJMcFzVoPFsHGJL,0.3673461774835948,0.3673461774835948
cat__utm_campaign_group_YCKgTzTDywjcWyQudGch,-0.35470739969810783,0.35470739969810783
cat__device_os_Linux,-0.2916985861770935,0.2916985861770935
cat__geo_country_group_Ukraine,0.2906303025126256,0.2906303025126256
cat__utm_campaign_group_QEejXfOCtOMFLZqIPApp,0.28971161153437675,0.28971161153437675
cat__geo_country_group_Netherlands,0.281037336507382,0.281037336507382
cat__utm_campaign_group_nSReTmyFtbSjlPrTKoaX,0.27887136912822336,0.27887136912822336
cat__geo_city_group_Vladivostok,-0.2736634069336833,0.2736634069336833
cat__geo_city_group_Kazan,0.27238220746314384,0.27238220746314384
cat__utm_campaign_group_LwJZxKuWmvOhPsaCeRjG,0.2601766585546914,0.2601766585546914
cat__geo_city_group_Nizhny Novgorod,-0.24126625630003284,0.24126625630003284
cat__utm_source_group_kjsLglQLzykiRbcDiGcD,0.23941186902190123,0.23941186902190123
cat__utm_medium_group_organic,-0.2348705392365474,0.2348705392365474
